Title,Price,Rating,Availability
Sharp Objects,£47.82,Four,In stock
"In a Dark, Dark Wood",£19.63,One,In stock
The Past Never Ends,£56.50,Four,In stock
A Murder in Time,£16.64,One,In stock
The Murder of Roger Ackroyd (Hercule Poirot #4),£44.10,Four,In stock
The Last Mile (Amos Decker #2),£54.21,Two,In stock
That Darkness (Gardiner and Renner #1),£13.92,One,In stock
Tastes Like Fear (DI Marnie Rome #3),£10.69,One,In stock
A Time of Torment (Charlie Parker #14),£48.35,Five,In stock
A Study in Scarlet (Sherlock Holmes #1),£16.73,Two,In stock
Poisonous (Max Revere Novels #3),£26.80,Three,In stock
Murder at the 42nd Street Library (Raymond Ambler #1),£54.36,Four,In stock
Most Wanted,£35.28,Three,In stock
Hide Away (Eve Duncan #20),£11.84,One,In stock
Boar Island (Anna Pigeon #19),£59.48,Three,In stock
The Widow,£27.26,Two,In stock
Playing with Fire,£13.71,Three,In stock
What Happened on Beale Street (Secrets of the South Mysteries #2),£25.37,Five,In stock
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),£52.30,Five,In stock
Delivering the Truth (Quaker Midwife Mystery #1),£20.89,Four,In stock
The Mysterious Affair at Styles (Hercule Poirot #1),£24.80,Four,In stock
In the Woods (Dublin Murder Squad #1),£38.38,Two,In stock
The Silkworm (Cormoran Strike #2),£23.05,Five,In stock
The Exiled,£43.45,Three,In stock
The Cuckoo's Calling (Cormoran Strike #1),£19.21,One,In stock
Extreme Prey (Lucas Davenport #26),£25.40,Three,In stock
Career of Evil (Cormoran Strike #3),£24.72,Two,In stock
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),£57.70,Four,In stock
The Girl You Lost,£12.29,Five,In stock
The Girl In The Ice (DCI Erika Foster #1),£15.85,Three,In stock
Blood Defense (Samantha Brinkman #1),£20.30,Three,In stock
1st to Die (Women's Murder Club #1),£53.98,One,In stock
